id,ahu,air,airCooling,airRef,area,boiler,bypass,chilled,chilledWaterCooling,chilledWaterRef,chiller,cmd,computed,cool,cooling,cur,damper,daytime,delta,directZone,dis,discharge,domestic,effective,elecHeating,enable,entering,enum,equip,equipRef,exhaust,fan,fanPowered,fcu,flow,geoAddr,geoCity,geoCoord,geoCountry,geoCounty,geoPostalCode,geoState,geoStreet,heat,heating,his,hot,hotWaterHeating,hotWaterRef,humidifier,humidity,hvac,kind,leaving,maxVal,minVal,mixed,outside,plant,primaryLoop,point,pointFunction,pressure,primaryFunction,pump,return,rtu,run,sensor,singleDuct,site,siteRef,sp,space,spaceRef,speed,steam,temp,thermostat,tz,unit,valve,vav,vavZone,water,weather,weatherCond,weatherStationRef,weatherStation,yearBuilt,zone,custom
@b-0000,"","","","",78000ft²,"","","","","","","","","","","","","","","",Bravo,"","","","","","","","","","","","","","","123 Some Rd, Fort Wayne, IN 46900",Fort Wayne,"",US,US,46900,IN,123 Some Rd,"","","","","","","","","","","","","","","","","","","","",Hospital (General Medical & Surgical),"","","","","","",✓,"","","","","","","","",Chicago,"","","","","","","",@b-042f,"",2000,"",{elecFreq:60Hz}
@b-0001,"","","","","","","","",✓,"","","","","","","","","","","",Bravo BCU-1,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","",✓,"",@b-0000,"","",@b-000d,"","","",✓,"","","",✓,"","","","","","","",✓,"{tu, bcu}"
@b-0002,"","","","","","","",✓,"","","","","",✓,"",✓,"","","","",Bravo BCU-1 Cooling Valve Output,"","","","","","","","",@b-0001,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-000d,"","","","",Chicago,%,✓,"","",✓,"","","","","","","{predictionConf:0.31259757180034364, sourcePointName:ChwVlvOR_value, dataSyncRecovered:2020-07-10T01:00:10.249-04:00 New_York, inScope, backgroundPoint}"
@b-0003,"",✓,"","","","","","","","","",✓,"","","",✓,✓,"","","",Bravo BCU-1 Mixed Air Damper Output,"","","","","","","","",@b-0001,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","",✓,"","","",✓,"","","","","","","","","","",@b-0000,"","",@b-000d,"","","","",Chicago,%,"","","","","","","","","","","{predictionConf:0.28394372966813813, sourcePointName:MadOR_value, dataSyncRecovered:2020-07-10T01:00:09.879-04:00 New_York, inScope, backgroundPoint}"
@b-0004,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo BCU-1 Supply Air Temperature,✓,"","","","","","","",@b-0001,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-000d,"","",✓,"",Chicago,°F,"","","","","","","","","","","{predictionConf:0.7893816782198223, sourcePointName:DAT, dataSyncRecovered:2020-07-10T01:00:09.879-04:00 New_York, inScope, backgroundPoint}"
@b-0005,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo BCU-1 Zone Temperature,"","","","","","","","",@b-0001,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-000d,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{predictionConf:0.6720981954640639, sourcePointName:SpaceTemp, dataSyncRecovered:2020-07-10T01:00:09.627-04:00 New_York, inScope, backgroundPoint}"
@b-0006,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo BCU-1 Zone Temperature Setpoint,"","","","","","","","",@b-0001,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"",327,-273,"","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-000d,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{precision:2, dataSyncRecovered:2020-07-10T01:00:11.125-04:00 New_York, backgroundPoint}"
@b-0007,"","","","","","","","",✓,"","","","","","","","","","","",Bravo BCU-2,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","",✓,"",@b-0000,"","",@b-000d,"","","",✓,"","","",✓,"","","","","","","",✓,"{tu, bcu}"
@b-0008,"","","","","","","",✓,"","","","","",✓,"",✓,"","","","",Bravo BCU-2 Cooling Valve Output,"","","","","","","","",@b-0007,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-000d,"","","","",Chicago,%,✓,"","",✓,"","","","","","","{sourcePointName:ChwVlvOR_value, dataSyncRecovered:2020-07-10T01:00:10.87-04:00 New_York, inScope, backgroundPoint}"
@b-0009,"",✓,"","","","","","","","","",✓,"","","",✓,✓,"","","",Bravo BCU-2 Mixed Air Damper Output,"","","","","","","","",@b-0007,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","",✓,"","","",✓,"","","","","","","","","","",@b-0000,"","",@b-000d,"","","","",Chicago,%,"","","","","","","","","","","{sourcePointName:MadOR_value, dataSyncRecovered:2020-07-10T01:00:07.721-04:00 New_York, inScope, backgroundPoint}"
@b-000a,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo BCU-2 Supply Air Temperature,✓,"","","","","","","",@b-0007,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-000d,"","",✓,"",Chicago,°F,"","","","","","","","","","","{sourcePointName:DAT, dataSyncRecovered:2020-07-10T01:00:10.374-04:00 New_York, inScope, backgroundPoint}"
@b-000b,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo BCU-2 Zone Temperature,"","","","","","","","",@b-0007,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"","","","","","","",✓,"","","","","","","",✓,"","",@b-0000,"","",@b-000d,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{sourcePointName:SpaceTemp, dataSyncRecovered:2020-07-10T01:00:07.598-04:00 New_York, inScope, backgroundPoint}"
@b-000c,"",✓,"","","","","","","","","","","","","",✓,"","","","",Bravo BCU-2 Zone Temperature Setpoint,"","","","","","","","",@b-0007,"","","","","","","","","","","","","","","",✓,"","","","","","",Number,"",327,-273,"","","","",✓,"","","","","","","","","","",@b-0000,✓,"",@b-000d,"","",✓,"",Chicago,°F,"","","","","","","","","",✓,"{precision:2, dataSyncRecovered:2020-07-10T01:00:10.374-04:00 New_York, backgroundPoint}"
